priority,brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,product_title,product_url,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status,manual_note
HIGH,vivo,iQOO 15,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,256,16GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Pro%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Pro%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Pro%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Pro%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,小米,Xiaomi 17,12,256,12GB+256GB,tmall,https://list.tmall.com/search_product.htm?q=%E5%B0%8F%E7%B1%B3%20Xiaomi%2017%2012GB%2B256GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,荣耀,荣耀600 Pro,12,512,12GB+512GB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Ultra,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Ultra,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Ultra,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Ultra,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15 Ultra,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15 Ultra,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15 Ultra,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15 Ultra,24,1024,24GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50 Pro mini,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%20Pro%20mini%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50 Pro mini,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%20Pro%20mini%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo S50 Pro mini,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%20Pro%20mini%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
